id,area,severidad,impacto,prob,mitigacion,dueno,eta
R1,Testing,Alta,Sin cobertura de pruebas,Alta,Instalar dependencias y ejecutar Vitest,QA,2024-05-25
R2,Lint,Media,61 errores ESLint,Media,Corregir reglas y ejecutar lint,Frontend,2024-05-26
R3,Seguridad,Alta,Sin escaneo de secretos,Alta,Instalar gitleaks y analizar,Security,2024-05-24
R4,Seguridad,Alta,Sin semgrep,Media,Instalar semgrep y escanear,Security,2024-05-24
R5,Dependencias,Media,Sin auditoría npm,Media,Configurar acceso al registro y ejecutar npm audit,DevOps,2024-05-24
R6,Duplicados,Baja,Sin reporte jscpd,Media,Instalar jscpd y generar reportes,DevOps,2024-05-24
R7,Código muerto,Baja,Sin análisis knip/ts-prune,Baja,Instalar herramientas y limpiar,Backend,2024-05-27
R8,Arquitectura,Baja,Sin gráficas de dependencias,Baja,Instalar madge/depcruise,Architect,2024-05-27
R9,Workflows,Media,Sin DEPLOY_ENABLED,Media,Agregar gating en workflows,DevOps,2024-05-28
R10,Datos,Media,Revisar migraciones y RLS manualmente,Baja,Automatizar revisión,DBA,2024-05-29
